ts,posx_gt,posy_gt,posx_meas,posy_meas,velx,vely
1.350000000000000089e+00,-1.705217819310204774e+01,2.247133745119723613e+01,-1.644044697653865583e+01,2.041484836109646039e+01,-2.239018757227256273e+01,-9.430955512944308339e+00
1.360000000000000098e+00,-1.728913325277009960e+01,2.259510095040074873e+01,-1.730077189533415805e+01,2.313915616366731243e+01,-2.605554774766698500e+01,-1.369756625069165956e+01
1.370000000000000107e+00,-1.752737967495343341e+01,2.271796871296678688e+01,-1.866681970256587775e+01,2.175073486454621019e+01,-2.314580466434566830e+00,1.812961164132244463e+01
1.380000000000000115e+00,-1.776690805409124607e+01,2.283993588828646892e+01,-1.803892545534499092e+01,2.235517973413062620e+01,-2.245533657266954819e+01,8.065358956943704527e-01
1.390000000000000124e+00,-1.800770893401326589e+01,2.296099766130455677e+01,-1.748468192102755125e+01,2.233332836215332051e+01,-2.539847673930433558e+01,-5.484670503453635604e+00
1.400000000000000133e+00,-1.824977280831307169e+01,2.308114925270954032e+01,-1.898233257201838242e+01,2.333860162873316213e+01,-1.944681319568997679e+01,2.635713344605792230e+01
1.409999999999999920e+00,-1.849309012072338732e+01,2.320038591912232206e+01,-1.635015644220670694e+01,2.129588762857942896e+01,-4.353304225765756996e+01,3.124706650644419170e+01
1.419999999999999929e+00,-1.873765126549334425e+01,2.331870295328348064e+01,-1.779270771739515666e+01,2.223141911506356294e+01,-3.675021204582863987e+01,2.304771206122196503e+01
1.429999999999999938e+00,-1.898344658776770189e+01,2.343609568423909906e+01,-1.934812859360688364e+01,2.368421022576142576e+01,-3.203378039785459919e+01,1.122492352532839455e+01
1.439999999999999947e+00,-1.923046638396800745e+01,2.355255947752516477e+01,-1.967925463131897601e+01,2.353495894061055793e+01,-3.784272675407456177e+01,9.514484320359969161e+00
1.449999999999999956e+00,-1.947870090217567096e+01,2.366808973535053795e+01,-2.049513900978029213e+01,2.352802446072482567e+01,-1.273879947131611345e+01,7.130030144053473684e+00
1.459999999999999964e+00,-1.972814034251695858e+01,2.378268189677845967e+01,-1.871653913712099992e+01,2.305045797047938905e+01,-4.390322902460955135e+01,7.143856916274113900e-01
1.469999999999999973e+00,-1.997877485754987603e+01,2.389633143790661052e+01,-1.692248764643704462e+01,2.398429106188873305e+01,-6.261453157269965430e+00,1.561195046538340669e+01
1.479999999999999982e+00,-2.023059455265292428e+01,2.400903387204570549e+01,-2.017727371144486170e+01,2.262529529458922894e+01,-3.547010735205489596e+01,2.060447770112264010e+01
1.489999999999999991e+00,-2.048358948641572397e+01,2.412078474989662169e+01,-2.107310510533301695e+01,2.449695692271585656e+01,-3.283221451005412916e+01,-4.999075180701208154e+00
1.500000000000000000e+00,-2.073774967103148725e+01,2.423157965972604799e+01,-2.119221588572397863e+01,2.412809929775756501e+01,-1.740188060468441478e+01,1.269476912747400021e+01
1.510000000000000009e+00,-2.099306507269131927e+01,2.434141422754066042e+01,-2.171436056547153015e+01,2.610946124084390618e+01,-2.194597556506813518e+01,-8.558161154492864853e-01
1.520000000000000018e+00,-2.124952561198032797e+01,2.445028411725978401e+01,-1.963712646803960737e+01,2.494611751342791806e+01,-3.854188119815840707e+01,2.637846868107032350e+01
1.530000000000000027e+00,-2.150712116427555642e+01,2.455818503088659099e+01,-2.235237948611067793e+01,2.623630467275548739e+01,-1.970569650754035251e+01,3.625558564097590697e+00
1.540000000000000036e+00,-2.176584156014567384e+01,2.466511270867776418e+01,-2.217425647330296101e+01,2.394058451450925418e+01,-6.261558540218153723e+00,-4.468957887705833798e+00
1.550000000000000044e+00,-2.202567658575245346e+01,2.477106292931167530e+01,-1.902835244380944602e+01,2.450383104825248282e+01,-4.091610112634108987e+01,3.951344465538744188e+00
1.560000000000000053e+00,-2.228661598325399140e+01,2.487603151005502866e+01,-2.030273654660030047e+01,2.577955648779736819e+01,-1.983360327930806832e+01,1.386309147342388925e+01
1.570000000000000062e+00,-2.254864945120967334e+01,2.498001430692799474e+01,-2.306995618631339795e+01,2.730547008269008202e+01,-2.545533447579807529e+01,1.742950748716430454e+01
